Brand,Product_name,Processor,RAM,ROM,Battery,Display_Size,Camera,No_of_ratings,No_of_reviews,Rating,Price
MOTOROLA,"MOTOROLA Edge 60 Pro (Pantone Shadow, 512 GB)",Dimensity 8350,16 GB,512 GB,6000 mAh,6.7 inch,50MP + 50MP + 10MP | 50MP Front Camera,3190,245,4.4,37999.0
realme,"realme P4 Power 5G (TransOrange, 128 GB)",Dimensity 7400 Ultra,8 GB,128 GB,10001 mAh,6.8 inch,,4007,358,4.5,25999.0
Samsung,"Samsung Galaxy A17 5G Charger in the Box (Gray, 128 GB)",Samsung Exynos 1330,8 GB,128 GB,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera,1002,78,4.3,20999.0
MOTOROLA,"MOTOROLA Edge 70 Fusion (Pantone COUNTRY AIR, 256 GB)",Snapdragon 7s Gen 4,8 GB,256 GB,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera,6364,675,4.4,29999.0
REDMI,"REDMI Note 15 5G (Black, 128 GB)",,8 GB,128 GB,5520 mAh,6.77 inch,108MP Rear Camera,520,23,4.3,23299.0
vivo,"vivo T5x 5G (Cyber Green, 128 GB)",Turbo,6 GB,128 GB,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera,5888,390,4.4,22999.0
IQOO,"IQOO Z10 5G (Glacier Silver / Silver, 128 GB)",,8 GB,128 GB,7300 mAh,6.7 inch,50MP Rear Camera,6683,342,4.4,24999.0
vivo,"vivo T5 Pro 5G (Glacier Blue, 256 GB)",Snapdragon 7s Gen 4,8 GB,256 GB,9020 mAh,6.83 inch,50MP + 2MP | 32MP Front Camera,1534,173,4.5,33999.0
OPPO,"OPPO K14 5G (Prism Violet, 256 GB)",Dimensity 6300,6 GB,256 GB,7000 mAh,6.75 inch,50MP Rear Camera | 8MP Front Camera,620,44,4.3,21999.0
Apple,"Apple iPhone 17 (Sage, 256 GB)",6 Core Processor,,256 GB,,6.3 inch,48MP + 48MP | 18MP Front Camera,10389,628,4.6,78900.0
Apple,"Apple iPhone 15 (Black, 128 GB)",6 Core Processor,,128 GB,,6.1 inch,48MP + 12MP | 12MP Front Camera,245202,9204,4.6,56900.0
realme,"realme P4 5G (Forge Red, 128 GB)",Mediatek Dimensity 7400,6 GB,128 GB,7000 mAh,6.77 inch,50MP + 8MP | 16MP Front Camera,20916,1391,4.4,19999.0
OnePlus,"OnePlus 9 5G (Astral Black, 128 GB)",,8 GB,128 GB,4500 mAh,6.55 inch,48MP Rear Camera,575,54,3.7,24100.0
OPPO,"OPPO Reno15 5G (Twilight Blue, 256 GB)",7 Gen 4,8 GB,256 GB,6500 mAh,6.59 inch,,623,67,4.5,47999.0
realme,"realme Narzo 100 Lite 5G (Thunder Black, 128 GB)",,4 GB,128 GB,7000 mAh,6.8 inch,50MP Rear Camera,28,0,3.9,26999.0
realme,"realme P3 Ultra 5G (Orion Red, 128 GB)",Dimensity 8350 Ultra,8 GB,128 GB,6000 mAh,6.83 inch,50MP + 8MP | 16MP Front Camera,20484,2008,4.4,24999.0
vivo,"vivo T5x 5G (Cyber Green, 128 GB)",Turbo,6 GB,128 GB,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera,5888,390,4.4,22999.0
IQOO,"IQOO Z10R 5G (Moonstone, 256 GB)",,12 GB,256 GB,5700 mAh,6.77 inch,50MP Rear Camera,821,55,4.3,27499.0
Samsung,"Samsung Galaxy A17 5G Charger in the Box (Black, 128 GB)",Samsung Exynos 1330,6 GB,128 GB,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera,983,67,4.3,20790.0
IQOO,"IQOO Z11x 5G (Titan Black, 128 GB)",,6 GB,128 GB,7200 mAh,6.7 inch,50MP Rear Camera,430,38,4.4,22357.0
Infinix,"Infinix NOTE 60 Pro (Deep Ocean Blue, 128 GB)",Snapdragon 7s Gen 4,8 GB,128 GB,6500 mAh,6.78 inch,50MP + 8MP | 13MP Front Camera,415,73,4.4,31999.0
OPPO,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",Snapdragon 6 Gen 4,8 GB,256 GB,7000 mAh,6.67 inch,50MP + 2MP | 16MP Front Camera,72919,4891,4.4,23862.0
vivo,"vivo T5 Pro 5G (Glacier Blue, 128 GB)",Snapdragon 7s Gen 4,8 GB,128 GB,9020 mAh,6.83 inch,50MP + 2MP | 32MP Front Camera,1534,173,4.5,29999.0
vivo,"vivo T4R 5G (Twilight Blue, 256 GB)",Dimensity 7400 5G,8 GB,256 GB,5700 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera,48893,2744,4.4,24999.0
Samsung,"Samsung M36 5G (Serene Green / Light Green, 128 GB)",,8 GB,128 GB,5000 mAh,6.7 inch,50MP Rear Camera,694,43,4.1,20500.0
IQOO,"IQOO Z10R 5G (Aquamarine, 256 GB)",,8 GB,256 GB,5700 mAh,6.77 inch,50MP Rear Camera,5136,297,4.4,24990.0
MOTOROLA,"MOTOROLA Edge 70 Fusion (Pantone COUNTRY AIR, 128 GB)",Snapdragon 7s Gen 4,8 GB,128 GB,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera,6364,675,4.4,26999.0
REDMI,"REDMI Note 14 Pro+ 5G (Spectre Blue, 256 GB)",7s Gen 3,8 GB,256 GB,6200 mAh,6.67 inch,50MP + 50MP + 8MP | 20MP Front Camera,3254,267,4.4,30999.0
MOTOROLA,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",Dimensity 8350,8 GB,256 GB,6000 mAh,6.7 inch,50MP + 50MP + 10MP | 50MP Front Camera,50157,3755,4.3,29999.0
IQOO,"IQOO 15R 5G (Triumph Silver, 256 GB)",,8 GB,256 GB,7600 mAh,6.59 inch,50MP Rear Camera,93,13,4.6,47560.0
MOTOROLA,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",Dimensity 7400,12 GB,256 GB,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera,44289,2600,4.4,26999.0
vivo,"vivo T5x 5G (Cyber Green, 128 GB)",Turbo,6 GB,128 GB,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera,5888,390,4.4,22999.0
MOTOROLA,"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",Dimensity 7400,12 GB,256 GB,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera,44289,2600,4.4,26999.0
REDMI,"REDMI 15 5G (Frosted White, 256 GB)",,8 GB,256 GB,7000 mAh,6.9 inch,50MP Rear Camera,4160,203,4.3,21705.0
OPPO,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 128 GB)",Snapdragon 6 Gen 4,8 GB,128 GB,7000 mAh,6.67 inch,50MP + 2MP | 16MP Front Camera,72919,4891,4.4,21914.0
Motorola,"Motorola G60 (Dynamic Gray, 128 GB)",Qualcomm Snapdragon 732G,6 GB,128 GB,6000 mAh,6.8 inch,108MP + 8MP + 2MP | 32MP Front Camera,77744,7533,4.1,21999.0
OnePlus,"OnePlus 9 5G (Arctic Sky, 128 GB)",,8 GB,128 GB,4500 mAh,6.55 inch,48MP Rear Camera,575,54,3.7,23399.0
IQOO,"IQOO Z10R 5G (Aquamarine, 128 GB)",,8 GB,128 GB,5700 mAh,6.77 inch,50MP Rear Camera,5136,297,4.4,23046.0
REDMI,"REDMI Note 15 5G (Mist Purple, 256 GB)",,8 GB,256 GB,5520 mAh,6.77 inch,108MP Rear Camera,520,23,4.3,25843.0
Samsung,"Samsung Galaxy S25 FE 5G (White, 256 GB)",Exynos 2400,8 GB,256 GB,4900 mAh,6.7 inch,50MP + 12MP + 8MP | 12MP Front Camera,621,61,4.6,50999.0
MOTOROLA,"MOTOROLA Edge 70 Fusion (Pantone SILHOUETTE, 256 GB)",Snapdragon 7s Gen 4,12 GB,256 GB,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera,1338,124,4.4,32999.0
realme,"realme 16 Pro 5G (Master Gold, 128 GB)",Dimensity 7300 Max,8 GB,128 GB,7000 mAh,6.78 inch,200MP + 8MP | 50MP Front Camera,1695,140,4.4,36999.0
OPPO,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 256 GB)",Snapdragon 6 Gen 4,8 GB,256 GB,7000 mAh,6.67 inch,50MP + 2MP | 16MP Front Camera,72919,4891,4.4,23862.0
POCO,"POCO X8 Pro (Black, 256 GB)",Ultra,8 GB,256 GB,6500 mAh,6.59 inch,50MP + 8MP | 20MP Front Camera,1184,238,4.4,31999.0
REDMI,"REDMI Note 15 5G (Mist Purple, 128 GB)",,8 GB,128 GB,5520 mAh,6.77 inch,108MP Rear Camera,520,23,4.3,22837.0
Samsung,"Samsung Galaxy M56 5G (Black, 256 GB)",OCTACORE,8 GB,256 GB,5000 mAh,6.7 inch,50MP + 50MP + 8MP | 12MP + 2MP Dual Front Camera,2114,155,4.4,33820.0
POCO,"POCO X8 Pro (Black, 256 GB)",Ultra,12 GB,256 GB,6500 mAh,6.59 inch,50MP + 8MP | 20MP Front Camera,360,59,4.4,34999.0
REDMI,"REDMI 15 5G (Midnight Black, 256 GB)",,8 GB,256 GB,7000 mAh,6.9 inch,50MP Rear Camera,4160,203,4.3,22490.0
MOTOROLA,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)",7s Gen 2,8 GB,256 GB,5500 mAh,6.67 inch,50MP + 8MP | 32MP Front Camera,88155,4923,4.4,22999.0
MOTOROLA,"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)",Dimensity 7400,8 GB,256 GB,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera,117291,6844,4.4,24999.0
MOTOROLA,"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 512 GB)",Dimensity 8350,16 GB,512 GB,6000 mAh,6.7 inch,50MP + 50MP + 10MP | 50MP Front Camera,3190,245,4.4,37999.0
vivo,"vivo T5x 5G (Cyber Green, 128 GB)",Turbo,6 GB,128 GB,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera,5888,390,4.4,22999.0
POCO,"POCO X8 Pro (White, 256 GB)",Ultra,8 GB,256 GB,6500 mAh,6.59 inch,50MP + 8MP | 20MP Front Camera,1184,238,4.4,31999.0
vivo,"vivo V70 Elite (Authentic Black, 256 GB)",Snapdragon 8s Gen 3,8 GB,256 GB,6500 mAh,6.59 inch,,572,73,4.6,54999.0
realme,"realme P4 Pro 5G (Midnight Ivy, 256 GB)",Snapdragon 7 Gen 4 Mobile,8 GB,256 GB,7000 mAh,6.8 inch,50MP + 8MP | 50MP Front Camera,18205,1472,4.4,27999.0
IQOO,"IQOO Z10R 5G (Aquamarine, 256 GB)",,12 GB,256 GB,5700 mAh,6.77 inch,50MP Rear Camera,821,55,4.3,26999.0
IQOO,"IQOO 15 5G (Alpha, 256 GB)",,12 GB,256 GB,7000 mAh,6.85 inch,50MP Rear Camera,240,18,4.7,67900.0
realme,"realme P4 Power 5G (TransSilver, 128 GB)",Dimensity 7400 Ultra,8 GB,128 GB,10001 mAh,6.8 inch,,4007,358,4.5,25999.0
Google,"Google Pixel 10 (Obsidian, 256 GB)",Tensor G5,12 GB,256 GB,4970 mAh,6.3 inch,5MP Front Camera,2071,156,4.5,79999.0
realme,"realme P4 5G (Steel Grey, 256 GB)",Mediatek Dimensity 7400,8 GB,256 GB,7000 mAh,6.77 inch,50MP + 8MP | 16MP Front Camera,17042,1169,4.4,22999.0
Infinix,"Infinix GT 30 5G+ Pulse Green 128 (Pulse Green, 128 GB)",Dimensity 7400,8 GB,128 GB,5500 mAh,6.78 inch,64MP + 8MP | 13MP Front Camera,679,43,4.4,21999.0
Samsung,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)",8 Gen 3,8 GB,256 GB,4000 mAh,6.2 inch,50MP + 12MP | 12MP Front Camera,57200,3714,4.6,55999.0
POCO,"POCO F7 5G (Phantom Black, 256 GB)",8s Gen 4,12 GB,256 GB,7550 mAh,6.83 inch,50MP Rear Camera | 20MP Front Camera,22317,2191,4.4,33999.0
Samsung,"Samsung M36 5G (Light Green, 128 GB)",,6 GB,128 GB,5000 mAh,6.7 inch,50MP Rear Camera,3362,199,4.3,22989.0
vivo,"vivo T4R 5G (Arctic White, 256 GB)",Dimensity 7400 5G,8 GB,256 GB,5700 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera,48893,2744,4.4,24999.0
realme,"realme GT 7T (IceSense Black, 256 GB)",MAX,8 GB,256 GB,7000 mAh,6.8 inch,50MP + 8MP | 32MP Front Camera,1225,134,4.3,30999.0
OnePlus,"OnePlus 12 (Glacial White, 256 GB)",,12 GB,256 GB,5400 mAh,6.82 inch,50MP Rear Camera,1578,138,4.6,48775.0
Samsung,"Samsung Galaxy S25 FE 5G (White, 128 GB)",Exynos 2400,8 GB,128 GB,4900 mAh,6.7 inch,50MP + 12MP + 8MP | 12MP Front Camera,621,61,4.6,44999.0
Samsung,"Samsung Galaxy A17 5G (Black, 128 GB)",Samsung Exynos 1330,8 GB,128 GB,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera,1002,78,4.3,20999.0
Samsung,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",Samsung Exynos 1380,8 GB,128 GB,5000 mAh,6.6 inch,50MP + 8MP + 5MP | 13MP Front Camera,77370,5012,4.4,33999.0
vivo,"vivo T4 Ultra 5G (Meteor Grey, 256 GB)",,12 GB,256 GB,5500 mAh,6.67 inch,50MP + 8MP + 50MP Periscope | 32MP Front Camera,4493,441,4.5,37999.0
Motorola,"Motorola G60 (Moonless, 128 GB)",Qualcomm Snapdragon 732G,6 GB,128 GB,6000 mAh,6.78 inch,108MP + 8MP + 2MP | 32MP Front Camera,77744,7533,4.1,21999.0
vivo,"vivo T4 5G (Phantom Grey, 128 GB)",Snapdragon 7s Gen 3 5G,8 GB,128 GB,7300 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera,78563,4319,4.4,24999.0
OPPO,"OPPO K13 Turbo 5G (White Knight, 256 GB)",Dimensity 8450,8 GB,256 GB,7000 mAh,6.8 inch,50MP + 2MP | 16MP Front Camera,8094,574,4.4,29999.0
vivo,"vivo T4 Ultra 5G (Meteor Grey, 512 GB)",,12 GB,512 GB,5500 mAh,6.67 inch,50MP + 8MP + 50MP Periscope | 32MP Front Camera,4493,441,4.5,39999.0
IQOO,"IQOO Z11x 5G (Titan Black, 128 GB)",,6 GB,128 GB,7200 mAh,6.7 inch,50MP Rear Camera,430,38,4.4,22357.0
Apple,"Apple iPhone 17 Pro (Cosmic Orange, 512 GB)",6 Core Processor,,512 GB,,6.3 inch,48MP + 48MP + 48MP | 18MP Front Camera,1385,106,4.7,146900.0
Samsung,"Samsung Galaxy S25 FE 5G (Navy, 128 GB)",Exynos 2400,8 GB,128 GB,4900 mAh,6.7 inch,50MP + 12MP + 8MP | 12MP Front Camera,621,61,4.6,44999.0
Samsung,"Samsung Galaxy S25 FE 5G (Jetblack, 128 GB)",Exynos 2400,8 GB,128 GB,4900 mAh,6.7 inch,50MP + 12MP + 8MP | 12MP Front Camera,621,61,4.6,44999.0
Samsung,"Samsung Galaxy A17 5G (Black, 256 GB)",Samsung Exynos 1330,8 GB,256 GB,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera,1002,78,4.3,25499.0
Samsung,"Samsung Galaxy A17 5G (Gray, 128 GB)",Samsung Exynos 1330,8 GB,128 GB,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera,1002,78,4.3,22499.0
Samsung,"Samsung Galaxy A17 5G (Black, 128 GB)",Samsung Exynos 1330,6 GB,128 GB,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera,983,67,4.3,20499.0
MOTOROLA,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)",7s Gen 2,8 GB,256 GB,5500 mAh,6.67 inch,50MP + 8MP | 32MP Front Camera,88155,4923,4.4,22999.0
Google,"Google Pixel 10a (Berry, 256 GB)",Tensor G4,8 GB,256 GB,5100 mAh,6.3 inch,48MP + 13MP | 13MP Front Camera,837,93,4.5,49999.0
vivo,"vivo T4 5G (Emerald Blaze, 256 GB)",Snapdragon 7s Gen 3 5G,12 GB,256 GB,7300 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera,22674,1344,4.4,28999.0
Samsung,"Samsung Galaxy A17 5G (Blue, 256 GB)",Samsung Exynos 1330,8 GB,256 GB,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera,1002,78,4.3,25460.0
REDMI,"REDMI Note 15 SE 5G (Frosted White, 128 GB)",Snapdragon 6 Gen 3,8 GB,128 GB,5800 mAh,6.77 inch,50MP Rear Camera | 20MP Front Camera,587,70,4.3,21999.0
REDMI,"REDMI Note 15 SE 5G (Crimson Reserve, 256 GB)",Snapdragon 6 Gen 3,8 GB,256 GB,5800 mAh,6.77 inch,50MP Rear Camera | 20MP Front Camera,587,70,4.3,23999.0
MOTOROLA,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",Dimensity 8350,12 GB,256 GB,6000 mAh,6.7 inch,50MP + 50MP + 10MP | 50MP Front Camera,15044,1213,4.3,31999.0
OPPO,"OPPO K14 5G (Icy Blue, 256 GB)",Dimensity 6300,6 GB,256 GB,7000 mAh,6.75 inch,50MP Rear Camera | 8MP Front Camera,620,44,4.3,21999.0
vivo,"vivo T4 Ultra 5G (Meteor Grey, 256 GB)",,8 GB,256 GB,5500 mAh,6.67 inch,50MP + 8MP + 50MP Periscope | 32MP Front Camera,6025,623,4.5,35999.0
vivo,"vivo T4 Ultra 5G (Meteor Grey, 512 GB)",,12 GB,512 GB,5500 mAh,6.67 inch,50MP + 8MP + 50MP Periscope | 32MP Front Camera,4493,441,4.5,39999.0
MOTOROLA,"MOTOROLA Edge 70 Fusion (Pantone ORIENT BLUE, 256 GB)",Snapdragon 7s Gen 4,8 GB,256 GB,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera,6364,675,4.4,29999.0
MOTOROLA,"MOTOROLA Edge 70 Fusion (Pantone ORIENT BLUE, 128 GB)",Snapdragon 7s Gen 4,8 GB,128 GB,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera,6364,675,4.4,26999.0
OnePlus,"OnePlus Nord 6 (Pitch Black, 256 GB)",core processor,8 GB,256 GB,9000 mAh,6.78 inch,50MP Rear Camera,831,105,4.5,41999.0
